Product Name,Product Price,Product Discounted Price
Britannia Jimjam Sandwich Biscuits 138 g,₹35.00,₹25.00
Britannia Bourbon The Original Cream Biscuits 150 g,₹40.00,₹30.00
Parle-G Original Glucose Biscuits 800 g,₹90.00,₹78.00
Britannia Tiger Krunch Chocochips Biscuits Combo Pack 400 g,₹140.00,₹70.00
Parle Monaco Salted Biscuits 200 g,₹40.00,₹36.00
Parle Hide & Seek 4 Fun Flavours Choco Chip Creme Sandwich Biscuits 400 g,₹150.00,₹75.00
Sunfeast Mom's Magic Cashew & Almond Biscuits 584 g,₹130.00,₹86.00
Britannia NutriChoice Hi-Fibre Digestive Biscuits 1 kg,₹199.00,₹145.00
Britannia 50-50 Maska Chaska Biscuits 300 g,₹90.00,₹78.00
Parle-G Gold Biscuits 1 kg,₹140.00,₹120.00
Parle Krack Jack Biscuits 400 g,₹80.00,₹70.00
Britannia Classic Little Hearts Biscuits 75 g,₹30.00,₹24.00
Britannia Milk Bikis Biscuits 500 g,₹90.00,₹75.00
Sunfeast Dark Fantasy Original Choco Filled Cookie 300 g,₹170.00,₹110.00
Britannia Good Day Cashew Biscuits 1 Kg,₹250.00,₹225.00
Cadbury Oreo Original Chocolatey Sandwich Biscuits 481.25 g,₹159.00,₹105.00
Parle Hide & Seek Choco Rolls 250 g,₹170.00,₹85.00
Cadbury Oreo Choco Creme Biscuits 288.75 g,₹85.00,₹59.00
Parle Milano Hide & Seek Choco Filled Cookies 250 g,₹180.00,₹90.00
Parle Festive Delights Black Bourbon Choco Creme Sandwich Biscuits 300 g,₹150.00,₹75.00
Parle Monaco Pizza Masala Crunch Biscuits 311 g,₹130.00,₹65.00
Unibic Sugar Free Butter Cookies 75 g,₹60.00,₹30.00
Parle Krackjack Butter Masala Biscuits 307.8 g,₹130.00,₹65.00
Pickwick Strawberry Creamy Wafer Biscuits 75 g,₹60.00,₹30.00
Parle Platina Hide & Seek Black Bourbon Vanilla Cream Biscuits 300 g,₹150.00,₹75.00
Amul Premium Butter Cookies 200 g,₹78.00,₹72.00
Mayora Malkist Cheese Flavoured Cracker Biscuits 144 g,₹50.00,₹33.00
Sunfeast Dark Fantasy Vanilla Creme Biscuits 100 g,₹35.00,₹17.00
Cadbury Oreo Original Vanilla Creme Biscuits (Family Pack) 288.75 g,₹99.00,₹59.00
Dukes Bourbon Premium Sandwich Biscuits 135 g,₹36.00,₹18.00
Britannia Bourbon 100 g (Buy 4 Get 1),₹80.00,₹100.00
Parle Monaco Classic Regular Salted Biscuits 400 g,₹180.00,₹70.00
Dukes Waffy Choco Wafer Rolls 250 g,₹50.00,₹90.00
Parle Milk Shakti Biscuits 350 g,₹25.00,₹25.00
Britannia 50-50 Potazos Masti Masala Spicy Flavoured Crisps 71.5 g,₹160.00,₹20.00
Parle Fab! Bourbon Chocolate Sandwich Biscuits 500 g,₹50.00,₹80.00
Dukes Waffy Strawberry Wafers 60 g,₹35.00,₹25.00
Britannia Pure Magic Chocolush Choco Filled Cookie 75 g,₹60.00,₹28.00
Mayora Malkist Chocolate Cracker Biscuits 144 g,₹160.00,₹40.00
Unibic Choco Kiss Cookies 250 g,₹40.00,₹80.00
Parle Krack Jack Crackers 200 g,₹50.00,₹37.00
Dukes Waffy Chocolate Wafers 60 g,₹159.00,₹25.00
Cadbury Oreo Choco Creme Biscuits 481.25 g,₹170.00,₹105.00
Cadbury Chocobakes Chocofilled Cookies 300 g,₹60.00,₹85.00
Dukes Masala Nibbles 150 g,₹50.00,₹40.00
Dukes Waffy Vanilla Wafers 60 g,₹200.00,₹25.00
Unibic Choco Nut Cookies 500 g (5 x 100 g),₹50.00,₹100.00
Britannia Jimjam Cream Biscuits 92 g (Buy 4 Get 1),₹50.00,₹100.00
Britannia Jimjam Cream Biscuits 92 g (Buy 4 Get 1),₹50.00,₹100.00
Dukes Waffy Orange Wafers 60 g,₹300.00,₹25.00
Britannia Milk Bikis Milky Sandwich Biscuits 200 g,₹160.00,₹46.00
Dukes Waffy Pineapple Wafers 60 g,₹60.00,₹25.00
Cadbury Oreo Original Chocolatey Sandwich Biscuits 918.75 g,₹35.00,₹200.00
Unibic Snappers Indi Spice Potato Crackers 75 g (Pack of 4),₹140.00,₹80.00
Dukes Nibbles Salted Crackers 150 g,₹180.00,₹40.00
Cadbury Oreo Original Creme Biscuits 113.75 g,₹30.00,₹32.00
Britannia Pure Magic Chocolush Cookies 300 g,₹160.00,₹93.00
Dukes Waffy Strawberry Wafer Rolls 250 g,₹45.00,₹90.00
Britannia 50-50 Maska Chaska Biscuits 105 g,₹40.00,₹27.00
Unibic Snappers Cream n Onion Potato Crackers 75 g (Pack of 4),₹45.00,₹80.00
Priyagold Snacks Zig Zag Biscuits 150 g,₹50.00,₹22.00
Parle Platina Hide & Seek Milano Centre Filled Cream Biscuits 75 g,₹35.00,₹26.00
Priyagold CNC Sweet & Salty Biscuits 150 g,₹80.00,₹22.00
Britannia Treat Strawberry Creme Wafers Biscuits 55 g,₹30.00,₹25.00
Parle Fab Bourbon Chocolate Cream Biscuits 150 g,₹200.00,₹23.00
Parle Monaco Classic Cheeslings 150 g,₹300.00,₹74.00
Britannia Milk Bikis Milk Sandwich Biscuits 100 g,₹35.00,₹27.00
Bonn Americana Coconut Cookies 107gms ( Pack of 10),₹170.00,₹169.00
Dukes Creme 4 Fun Cream Biscuits 450 g (Pack of 3),₹25.00,₹70.00
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits 150 g (Buy 3 Get 1 Extra),₹55.00,₹120.00
Bonn Americana Premium Sandwich Bourbonn Cookies Family Pack 1kg,₹60.00,₹149.00
Cadbury Oreo Strawberry Creme Biscuits 113.75 g,₹50.00,₹32.00
Dukes Waffy Creamy & Crunchy Wafers Assorted Pack 75 g (Pack of 6),₹140.00,₹145.00
Desi Ghee Atta Biscuits | Premium Handmade Cookies | 100% Pure Desi Ghee Used | 300 Gram,₹35.00,₹160.00
Britannia Jimjam Cream Biscuits 92 g,₹25.00,₹23.00
Britannia Treat Orange Creme Wafers Biscuits 55 g,₹180.00,₹27.00
Dukes Sour Cream & Onion Nibbles 150 g,₹160.00,₹40.00
Britannia Treat Vanilla Creme Wafer Biscuit 55 g,₹210.00,₹25.00
Parle Monaco Classic Cheeslings 300 g,₹799.00,₹126.00
Parle Fab Jam-In Cream Biscuits 150 g,₹599.00,₹32.00
Sunfeast Nice Sugar Sprinkled Biscuits 142.8 g,₹75.00,₹23.00
Parle Fab Jam-In Mixed Fruit Sandwich Biscuits 495 g,₹35.00,₹90.00
Unibic Snappers Potato Crackers Achari Mango Biscuits 300 g,₹125.00,₹80.00
MidBreak - Sugar Free Atta Biscuits | Sugar Free Atta Cookies | Atta Biscuits | Premium Handmade Cookies | 300 Gm | Pack of 1,₹30.00,₹189.00
Momsy 100% Natural and Premium California Almonds| Quality Badam Giri| - Badam - Bold Size (250gm),₹40.00,₹399.00
Momsy Premium Ajwain Multigrain Biscuit | High Fibre Digestive Cookies | No Refined Sugar (450gm),₹35.00,₹280.00
Cadbury Bournvita Biscuits Tiffin Pack 250 g (Pack of 9),₹499.00,₹69.00
Patanjali Doodh Biscuits 300 g,₹360.00,₹32.00
Patanjali Doodh Biscuits 800 g,₹299.00,₹95.00
Parle Hide & Seek Choco Chip Creme Sandwich Biscuits 100 g,₹60.00,₹27.00
Sunfeast Dark Fantasy Coffee Fills Cookie 75 g,₹399.00,₹37.00
Dukes Creme 4 Fun Strawberry Sandwich Biscuits 150 g,₹68.00,₹26.00
Momsy Premium Atta Biscuits Desi Ghee Pure Handmade Aata Biscuits And Cookies (450gm),₹230.00,₹266.00
Orion Strawberry Choco Pie - 24 Cookies (Pack of 12X2),₹599.00,₹306.00
Mohan Impex 1 kg Corn Flour Powder |Maize Flour| Makke Kaa Atta [HoReCa Pack],₹420.00,₹164.00
Dukes Ranch Crackers 150 g,₹269.00,₹40.00
Momsy Premium Quality Handmade Spacial Suji Elaichi Rusk (250gm),₹300.00,₹175.00
Pickwick Chocolate Creamy Wafer Biscuit 75 g,₹599.00,₹34.00
MidBreak - Sugar Free Multigrain Cookies | Multigrain Biscuits | Sugar Free Multigrain Biscuits | Premium Handmade Cookies | 300 Gm | Pack of 1,₹50.00,₹199.00
Momsy Premium Handmade Fruit Jam Cookies Eggless & No Artificial Preservatives (450gm),₹300.00,₹270.00
Open Secret Choco Almond Healthy Cookies Biscuits-Pack of 24 - 420gm,₹190.00,₹367.00
BAKITO'S Atta Cookies,₹165.00,₹199.00
Snackible Dipsters Biscuit Sticks with Chocolatey Dip (Pack of 12) 12x25gm,₹120.00,₹244.00
Momsy Premium Roasted & Salted Jumbo Size Pistachios Nut | Pista Dry Fruit | Super Crunchy (250gm),₹199.00,₹499.00
Snac tac Orange Wafers Biscuits 75 g,₹399.00,₹25.00
Go Choco Weelz - Crunchy Chocolate Coated Biscuit - 360g (36g x Pack of 10) -Pack of 2,₹190.00,₹150.00
MidBreak - Fruit Kaju Biscuits| Fruit Cashew Cookies| Handmade Cookies| 350 Gm x 1| Pack of 1,₹35.00,₹170.00
Pickwick Strawberry Wafer Rolls 150 g,₹240.00,₹82.00
Parle Monaco Classic Regular Biscuits 700 g,₹300.00,₹90.00
Mohan Impex 300 gm Desiccated Coconut Powder| Nariyal Burada (1 x 300 gm) [HoReCa Pack],₹799.00,₹158.00
Mohan Impex Cocoa Powder 500 gm [HoReCa Pack],₹147.00,₹299.00
Mid Break - Dry Fruit Cookies | 100% EMid Break - Dry Fruit Cookies| Eggless Cookies| Biscuits| Handmade Cookies| 300 gm x 1| Pack of 1ggless Cookies | Dry Fruit Biscuits | Handmade Cookies | 300 gm x 1 | Pack of 1,₹799.00,₹168.00
Parle Fab Jam In Strawberry Cream Biscuits 150 g,₹299.00,₹32.00
Bonn Americana Premium Chocolate Bourbonn Biscuits 150 g (Pack of 8-150g Each),₹50.00,₹189.00
Snactac Assorted Wafer Biscuits 450 g (Pack of 6),₹85.00,₹150.00
Momsy Premium Atta Biscuits Desi Ghee Pure Handmade Aata Biscuits And Cookies (950gm),₹400.00,₹449.00
"Manna Millet Bytes Multigrain Wafers with Millets | Treat Waffy of Orange, Choclate, Vanilla Flavour | Goodness of Oats, Jowar & Foxtail Millets (Combo Pack of 3)",₹21.00,₹135.00
Momsy Premium Homemade Salt N Pepper Banana Chips - Crispy Banana Chips (950gm),₹630.00,₹475.00
"Mohan Impex Monosodium Glutamate(MSG) Ajinomoto Chinese Taste Enhancer Salt, 500 gm (Pack of 1)",₹269.00,₹188.00
Parle Krack Jack Butter Masala Biscuits 100 g,₹299.00,₹25.00
Pickwick Vanilla Creamy Wafer Biscuits 110 g,₹147.00,₹42.00
Mohan Impex 1kg Desiccated Coconut Powder| Nariyal Burada| [HoReCa Pack],₹350.00,₹299.00
"UNIBIC Cookies, Cashew Badam Cookies, 500g | Kaju Biscuit.",₹170.00,₹300.00
Amul Nuts & Raisin Cookies 50 g (Pack),₹540.00,₹19.00
Open Secret Choco Almond Cookies Box Pack Combo - Pack of 6,₹350.00,₹535.00
BAKITO'S JEERA Biscuits,₹150.00,₹199.00
"Momsy Premium Multigrain Strawberry Fills (Made with Oats, Corn, Wheat, Rice, Zero Cholesterol 250gm",₹279.00,₹199.00
"Manna Millet Bytes Multigrain Wafers with Millets | Treat Waffy of Orange Flavour | Goodness of Oats, Jowar & Foxtail Millets (Pack of 3)",₹180.00,₹135.00
"Murthy's Bakery Shrewsbury Biscuits, 20 Pieces",₹760.00,₹260.00
MidBreak - Jeera Biscuits | Jeera Cookies | Cummins Biscuits | Cummins Cookies | 25% Less Fat | Premium Handmade Cookies | 300 Gms | Pack of 1,₹130.00,₹150.00
"Orion Mango Choco Pie Pack of 3X12, Choco 36 Pies",₹299.00,₹459.00
Pickwick Strawberry & Chocolate Wafer Rolls 150 g (Pack of 3),₹210.00,₹100.00
Open Secret Celebration Gift Box,₹75.00,₹280.00
Mayora Go Choco Weelz Choco Coated Biscuit 360 g,₹269.00,₹49.00
"BAKITO'S Handmade Premium Wheat Grain Fruit Cake Rusk, 300 Grams",₹350.00,₹219.00
MidBreak - Kaju Pista Biscuits | Kaju Pista Cookies | Cashew Biscuits | Cashew Pistachio Cookies | Premium Handmade Cookies | 350 Gm | Pack of 1,₹147.00,₹164.00
"Orion Chocopie Combo - Original Choco Pie - 12X2, Strawberry Choco Pie 12X1, Mango Choco Pie 12X1",₹180.00,₹646.00
GRABOLL Handmade Cookies Tutti Fruity Gourmet with Goodness of Cow Ghee 200 gram,₹320.00,₹119.00
Mohan Impex 1kg Custard Powder- Vanilla [HoReCa Pack],₹285.00,₹224.00
"Wheafree Gluten Free Butter Masala Biscuits (Pack of 3) | Tasty, Crunchy and Flavoured Biscuits | Best Tea time Snacks | Nutritious | 360g | 100% Vegetarian and Gluten Free Ingredients",₹420.00,₹189.00
Pickwick Strawberry Creamy Wafer Biscuits 150 g,₹499.00,₹69.00
BAKITO'S AJWAIN BISCUIT,₹299.00,₹199.00
Open Secret Celebration Gift Box,₹130.00,₹280.00
"Manna Millet Bytes Multigrain Wafers with Millets | Treat Waffy of Chocolate Flavour | Goodness of Oats, Jowar & Foxtail Millets (Pack of 3)",₹75.00,₹135.00
GRAINIC Organic Brown Rice Cakes I Lentils and Flaxseed,₹199.00,₹150.00
Parle Fab! Bourbon Chocolate Sandwich Biscuits 500 g Pack of 2,₹598.00,₹319.00
Parle-G Gold Biscuits 2 kg,₹269.00,₹226.00
"Open Secret Assorted Cookies - Peanut Butter, Choco Almond, Cashew Pack of 24 Cookies (12 x2)",₹599.00,₹367.00
Momsy Premium Dry Amla Candy | Dry Berries | Premium Sweet Indian Gooseberry (450gm),₹300.00,₹299.00
Momsy Premium Bambaiya Mukhwas Mix Saunf mukhwas [Jar Pack]| After Meal Mukhwas (200gm),₹340.00,₹199.00
GRABOLL Handmade Cookies Chocolate Chip Gourmet with Goodness of Cow Ghee 200 Gram,₹730.00,₹119.00
Pickwick Orange Creamy Wafer Biscuits 150 g,₹75.00,₹69.00
Parle Happy Happy Choco-Chip Cookies 400 g Pack of 2,₹130.00,₹300.00
Bazic Bajra Coconut Coin Cookies,₹75.00,₹125.00
Mohan Impex 1kg Custard Powder- Vanilla (Pack of 2) |2 x 1kg| [HoReCa Pack],₹437.00,₹350.00
BAKITO'S Multigrain Sugar Free Cookies,₹245.00,₹199.00
Momsy Premium Quality Handmade Spacial Butter Suji Elaichi Rusk (450gm),₹398.00,₹275.00
"Sapphire Luxury Wafer Rolls Chocolate, 300 g",₹550.00,₹295.00
MidBreak - Desi Ghee Atta Biscuits| Handmade Cookies| Atta Biscuits| 300 Gram Each| Pack of 2,₹899.00,₹275.00
Grainic Organic Rice Cakes (Assorted Pack of 4),₹300.00,₹464.00
Pickwick Pineapple Creamy Wafer Biscuits 150 g,₹299.00,₹69.00
"GRABOLL Handmade Cookies Butter Kaju Gourmet with Goodness of Cow Ghee, 200 gram",₹199.00,₹119.00
Pickwick Chocolate Creamy Wafer Biscuits 150 g,₹399.00,₹69.00
Vasu'G Gur Atta Biscuits | Pure Handmade Jaggery Atta Biscuits | 500gm | Crunchy Atta Biscuit |,₹437.00,₹327.00
Sarwar Panko Bread Crumbs 500 Grams.,₹437.00,₹205.00
Mohan Impex 300 gm Desiccated Coconut Powder| Nariyal Burada [ Pack of 2 ] (2x 300 gm) [HoReCa Pack],₹199.00,₹248.00
Honey almond and chocolate cookies 265 g,₹899.00,₹373.00
Momsy Premium Ajwain Multigrain Biscuit| High Fibre Digestive Cookies| No Refined Sugar (950gm),₹269.00,₹460.00
"Sapphire Luxury Wafer Rolls Vanilla, 300 g",₹799.00,₹295.00
"Momsy Premium Multigrain Choco Fills (Made with Oats, Corn, Wheat, Rice, Zero Cholesterol (250gm)",₹360.00,₹199.00
Jowar Ajwain Coin Cookies,,₹125.00
Momsy Premium Amritsari Aam Papad With Masala (Dried Spiced Raw Mango Slices) (200gm),,₹215.00
Vasu'G Elaichi Atta Biscuits | Pure Handmade Cardamom Atta Biscuits | 500gm | Crunchy Atta Biscuits |,,₹327.00
Vasu'G No Added Sugar Atta Biscuits | Pure Handmade Atta Biscuits | 400gm | Crunchy Atta Biscuits,,₹327.00
Unibic Cookies-Choco Nut Cookies Biscuit 500g Pack of 1,,₹380.00
Jowar Nan Khatai,,₹125.00
Momsy Premium Potato Chips| Aloo Chips| Salty Wafers| Aalu Chips (Crunchy and Crispy) (950gm),,₹460.00
BAKITO'S Atta Sugar Free Cookies,,₹199.00
Momsy Premium Dry Amla Candy| Dry Berries| Premium Sweet Indian Gooseberry (950gm),,₹425.00
"Jacker Chocolate Wafer Cube 100g, Smooth & Chocolate Crunchy Layered Wafers (Pack of 3)",,₹355.00
